def sol():
    return [], 0

# This test should pass
assert sat(sol())

# This test should fail
assert not sat([12, 0])

# This test should fail
assert not sat([11, 59])

# This test should pass
assert sat([11, 30])

# This test should pass
assert sat([11, 0])

# This test should fail
assert not sat([1, 30])

# This test should fail
assert not sat([12, 59])

# This test should fail
assert not sat([1, 0])

# This test should pass
assert sat([1, 1])

# This test should fail
assert not sat([12, 1])

# This test should pass
assert sat([12, 30])

# This test should fail
assert not sat([13, 0])

# This test should fail
assert not sat([0, 30])

# This test should fail
assert not sat([0, 0])

#
